author_id,degree,pagerank,betweenness,closeness
202,32,5.276897893160555e-05,1.4070202420091274e-05,0.06168471544504921
203,42,5.8110773806355354e-05,1.0213124466443386e-05,0.06263531142587656
204,86,0.00015007478082530436,0.0004157856559947794,0.06743452107601856
205,44,6.049149289879049e-05,7.926243610117234e-06,0.06318279514621929
206,42,5.947397020195074e-05,9.343304051227702e-06,0.06389975647332964
207,27,4.482182095352107e-05,6.38244067148193e-06,0.06107077077069365
208,36,6.78130090169546e-05,2.9660900669250953e-05,0.06303791449290937
209,27,4.482182095352107e-05,6.38244067148193e-06,0.06107077077069365
210,39,6.215064046966e-05,3.90119756417694e-05,0.06242923369136854
211,33,4.770752568306834e-05,1.0849511762155157e-05,0.0615628948756839
212,38,4.877982266559877e-05,1.045501972315826e-05,0.06289822897942252
213,55,7.104726517124419e-05,0.00010316308023286746,0.06755325531005912
214,41,6.0969884668733566e-05,1.9612121133451524e-05,0.06341000534307638
215,34,4.819465063930643e-05,7.806498837430995e-06,0.06204757316088406
216,43,6.298692852455165e-05,1.8786811404715444e-05,0.06370039398985176
217,29,4.480851369037391e-05,4.795289407376975e-06,0.06285972586852806
218,34,5.6541319261664346e-05,2.09240028516228e-05,0.06355428950923428
219,38,6.468091304195802e-05,2.715404329291918e-05,0.06375390125065802
220,29,4.378299727858288e-05,3.796344919968357e-06,0.06273660660526828
221,45,6.864678705276177e-05,6.615886640411487e-05,0.0668636987549752
222,55,8.065038441651424e-05,0.00014535281823835198,0.06743973139250116
223,33,4.5921197064605746e-05,1.5536794783022698e-05,0.06513843344446324
224,67,0.0001038334885239298,0.0005692347188762061,0.06780383155033375
225,68,0.00010747805765854477,0.00020247931677670725,0.06799927730971068
226,61,7.96766796486175e-05,0.00011908708672819049,0.06839490849980968
227,34,4.725782704663682e-05,5.799421973054871e-06,0.06366786830406086
228,38,5.130256635129945e-05,6.312444642243972e-05,0.0641958388958516
229,27,3.9442312613977164e-05,6.836886493036753e-06,0.06148591821830099
230,41,6.707978019655035e-05,2.8802644011589628e-05,0.06337202356360673
231,81,0.00012952349082468175,0.00025991375195391674,0.06801384867803918
